features,margin,kernel,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,100.0,rbf,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,10.0,rbf,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,1.0,rbf,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,0.1,rbf,0.6056769230769231,0.06631775579532083,0.6484461137265437,0.07145321441926146,0.01,0.030419930044021104,0.0
X1,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X1,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X3,100.0,rbf,0.5142,0.06564197495307134,0.5390023430548878,0.09561975521892047,0.0,0.0005053510577190945,0.0
X3,10.0,rbf,0.5154,0.06537085647090486,0.5376531367056815,0.09554461676221006,0.0,0.0005138923856854438,0.0
X3,1.0,rbf,0.5154153846153846,0.06382260177273738,0.5397603155396345,0.09638743455877485,0.0,0.0003866146963916739,0.0
X3,0.1,rbf,0.5460923076923079,0.02180268698494097,0.706146134567187,0.019169375811888954,0.0,0.0,0.0
X3,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X3,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X5,100.0,rbf,0.5672615384615385,0.07898620357397605,0.6439302626415645,0.09156287059286897,0.0,0.019683007996848634,0.0
X5,10.0,rbf,0.5672307692307693,0.07834093294790362,0.6440699320192762,0.09127964010939871,0.0,0.018868338134843565,0.0
X5,1.0,rbf,0.5715846153846155,0.07408884958707412,0.6500540377827936,0.07941374013800422,0.0,0.01625102018674396,0.0
